# k =   0.000000   0.000000   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -1.08829896E+01  -1.10881441E+01  -2.05154432E-01
# Error est. for CH(vbm) CH(cbm) diff =   3.17744257E-01   3.19011315E-01   1.26705830E-03
# 1/N extrap for CH`(vbm) CH`(cbm) diff =  -1.05346217E+01  -1.04487122E+01   8.59095324E-02
# Error est. for CH`(vbm) CH`(cbm) diff =   1.16340805E+00   9.98219427E-01  -1.65188624E-01
#    Nb          CH(vbm)          CH(cbm)             diff         CH`(vbm)         CH`(cbm)            diff`
     26  -7.35175057E+00  -7.55196355E+00  -2.00212983E-01  -2.52745081E+00  -2.44085810E+00   8.65927129E-02
     27  -7.51277293E+00  -7.65573397E+00  -1.42961036E-01  -2.82198163E+00  -2.62075659E+00   2.01225040E-01
     28  -7.57500959E+00  -7.72919678E+00  -1.54187193E-01  -2.93794290E+00  -2.75075975E+00   1.87183156E-01
     29  -7.62632096E+00  -7.75504643E+00  -1.28725474E-01  -3.03206310E+00  -2.79681910E+00   2.35244001E-01
     30  -7.74040463E+00  -7.79780143E+00  -5.73967934E-02  -3.25299862E+00  -2.87404355E+00   3.78955070E-01
     31  -7.97592626E+00  -7.85398507E+00   1.21941189E-01  -3.70699705E+00  -2.97652360E+00   7.30473453E-01
     32  -8.05154169E+00  -7.88819296E+00   1.63348732E-01  -3.85150078E+00  -3.03898026E+00   8.12520522E-01
     33  -8.08292014E+00  -7.94257337E+00   1.40346769E-01  -3.91313360E+00  -3.13877253E+00   7.74361070E-01
     34  -8.11890327E+00  -8.02533329E+00   9.35699757E-02  -3.98440944E+00  -3.29210292E+00   6.92306520E-01
     35  -8.17838924E+00  -8.28157947E+00  -1.03190237E-01  -4.10278383E+00  -3.77360559E+00   3.29178240E-01
     36  -9.86745748E+00  -8.41127639E+00   1.45618109E+00  -7.48868664E+00  -4.02121462E+00   3.46747202E+00
     37  -9.90307680E+00  -9.65088447E+00   2.52192327E-01  -7.56370547E+00  -6.50415590E+00   1.05954958E+00
     38  -9.92291391E+00  -9.82751502E+00   9.53988966E-02  -7.60630420E+00  -6.85765149E+00   7.48652705E-01
     39  -9.94976301E+00  -1.03394650E+01  -3.89702030E-01  -7.66340264E+00  -7.89637561E+00  -2.32972972E-01
     40  -1.01133627E+01  -1.04684223E+01  -3.55059593E-01  -8.01847072E+00  -8.15733641E+00  -1.38865694E-01
     41  -1.01560956E+01  -1.05321825E+01  -3.76086893E-01  -8.11209796E+00  -8.28959363E+00  -1.77495670E-01
     42  -1.01902520E+01  -1.05911666E+01  -4.00914585E-01  -8.18698471E+00  -8.41326780E+00  -2.26283093E-01
     43  -1.02166014E+01  -1.06259852E+01  -4.09383850E-01  -8.24594551E+00  -8.48599180E+00  -2.40046283E-01
     44  -1.03536735E+01  -1.06508376E+01  -2.97164153E-01  -8.55735517E+00  -8.53824514E+00   1.91100261E-02
     45  -1.03564507E+01  -1.06837184E+01  -3.27267748E-01  -8.56390487E+00  -8.61219770E+00  -4.82928275E-02
     46  -1.03610968E+01  -1.07038390E+01  -3.42742133E-01  -8.57473438E+00  -8.65792946E+00  -8.31950812E-02
     47  -1.03837866E+01  -1.07287513E+01  -3.44964679E-01  -8.63008269E+00  -8.71513589E+00  -8.50531980E-02
     48  -1.04001446E+01  -1.07656762E+01  -3.65531617E-01  -8.66900056E+00  -8.80092014E+00  -1.31919584E-01
     49  -1.04113847E+01  -1.07908409E+01  -3.79456283E-01  -8.69590733E+00  -8.86082431E+00  -1.64916980E-01
     50  -1.04155597E+01  -1.08050565E+01  -3.89496710E-01  -8.70590285E+00  -8.89530243E+00  -1.89399579E-01
     51  -1.04239694E+01  -1.08181589E+01  -3.94189543E-01  -8.72648646E+00  -8.92679384E+00  -2.00307376E-01
     52  -1.04324799E+01  -1.08369705E+01  -4.04490648E-01  -8.74798463E+00  -8.97307456E+00  -2.25089935E-01
     53  -1.04478511E+01  -1.08590274E+01  -4.11176319E-01  -8.78584637E+00  -9.02602471E+00  -2.40178338E-01
     54  -1.04551504E+01  -1.08810831E+01  -4.25932668E-01  -8.80396838E+00  -9.07939613E+00  -2.75427754E-01
     55  -1.04604490E+01  -1.08991051E+01  -4.38656075E-01  -8.81729856E+00  -9.12476548E+00  -3.07466918E-01
     56  -1.04642564E+01  -1.09161680E+01  -4.51911520E-01  -8.82696527E+00  -9.16731413E+00  -3.40348862E-01
     57  -1.04706776E+01  -1.09324893E+01  -4.61811668E-01  -8.84343884E+00  -9.20923915E+00  -3.65800308E-01
     58  -1.04815302E+01  -1.09423434E+01  -4.60813103E-01  -8.87437121E+00  -9.23446016E+00  -3.60088954E-01
     59  -1.04873722E+01  -1.09636188E+01  -4.76246662E-01  -8.88991411E+00  -9.28904580E+00  -3.99131691E-01
     60  -1.04907418E+01  -1.09752339E+01  -4.84492038E-01  -8.89889559E+00  -9.31917087E+00  -4.20275276E-01
     61  -1.04971151E+01  -1.09825757E+01  -4.85460617E-01  -8.91650515E+00  -9.33854993E+00  -4.22044779E-01
     62  -1.05217010E+01  -1.09920014E+01  -4.70300335E-01  -8.99018807E+00  -9.36283933E+00  -3.72651259E-01
     63  -1.05261141E+01  -1.10001968E+01  -4.74082729E-01  -9.00250784E+00  -9.38501841E+00  -3.82510564E-01
     64  -1.05321251E+01  -1.10115122E+01  -4.79387059E-01  -9.01953883E+00  -9.41574771E+00  -3.96208883E-01
